Id,Predicted
<<<<<<< HEAD
0,19120.739189391028
1,34800.395841256686
2,152748.6987160913
3,75402.46214499445
4,26164.787405402138
5,74165.75771582883
6,76589.39915472154
7,212293.9195
8,59100.06187057269
9,64620.05068912084
10,55607.61728822945
11,116452.15962976402
12,110408.80140913934
13,80031.96210407371
14,67616.94350744903
15,21173.50951651589
16,75912.1512823867
17,52403.57699280404
18,136108.10320210506
19,101605.41737157507
20,124266.55089808407
21,61329.18647262323
22,38971.329320648874
23,34261.79773756743
24,89985.98501351588
25,101774.06478975933
26,128161.06750103383
27,45037.00829375761
28,71101.25886203896
29,215092.02355216595
30,46219.84355161568
31,68195.48447911872
32,142477.48030744257
33,33442.879128335204
34,66783.77761618356
35,65821.69376077152
36,46918.270441891196
37,24709.927608933787
38,68056.18156204191
39,88571.8617165988
40,55783.81981831535
41,217131.5
42,188975.0158035907
43,164778.01510778113
44,81576.66064379562
45,101279.80076772792
46,35327.92822840657
47,92976.77450350282
48,85236.99215170869
49,33927.02334719801
50,52221.6841663352
51,37801.920223038454
52,43621.75805639233
53,76441.39463292436
54,84865.8966967405
55,208075.44734271633
56,86229.48558621548
57,43134.21376961097
58,241238.33294505495
59,61819.641066502605
60,39951.142221809685
61,40641.05700632127
62,127144.86837337009
63,46798.07675159893
64,12253.098345704679
65,70426.85817838722
66,98414.49437393523
67,335154.59823841834
68,45521.93322528557
69,107440.96297163948
70,122525.6143703804
71,34144.590870932734
72,48778.85518032315
73,40121.963246031744
74,50443.05819645663
75,218293.23166666663
76,58394.37749954769
77,42555.91391063838
78,77534.47774801565
79,62201.34983883919
80,65981.96300561009
81,26586.464422185603
82,44021.78550297362
83,68069.33252411436
84,44782.72867335824
85,64034.1529507955
86,46895.79744581187
87,154546.60424999124
88,234673.48045959594
89,64865.67016787525
90,67306.98437281164
91,104637.13382760754
92,138550.90733351232
93,26135.842342382603
94,150138.8461285958
95,24339.30273361304
96,44195.03031567342
97,76682.2672320093
98,10251.803968863635
99,73341.82091137244
100,86912.1623496928
101,125441.57445091991
102,45966.89063812348
103,87514.54218967276
104,49282.33864190053
105,54771.85734328075
106,96055.5570752992
107,66577.59121542207
108,107505.88687302292
109,48625.18784927287
110,15345.621944444445
111,51597.86408073055
112,54072.43064970117
113,98913.49435707861
114,64826.89773976701
115,118142.63524576901
116,71284.13087815093
117,281296.1523376623
118,202439.6966882823
119,380258.76
120,25834.161652841038
121,174347.88767814147
122,24594.66403978321
123,79471.5675121401
124,41506.3255239989
125,266483.67082051287
126,30341.870612262213
127,54358.30141922655
128,54395.46537696398
129,53859.26947294731
130,95077.06411661499
131,795572.6442051283
132,46592.562670607644
133,136522.62611571906
134,83564.19386687574
135,9821.773300990772
136,43339.508244875615
137,61418.38786373032
138,43991.39261881911
139,67319.81958911686
140,140220.7451217683
141,551529.7
142,591316.9092698413
143,162163.58627754598
144,31550.342675792996
