Predicted,Id
183988.0,0
2797.402186556952,1
175884.58927941805,2
221963.7526652452,3
-5016.261818839295,4
60653.07562032844,5
868800.0,6
339666.6708356928,7
91592.39216667687,8
69490.75612065826,9
108009.10230572704,10
89740.74071918387,11
95477.42933367632,12
117422.75297438703,13
980688.5428347281,14
178800.0,15
71498.7318694233,16
69648.63157894737,17
318226.4196637349,18
93519.8433258168,19
44831.63062312444,20
73135.44534398644,21
868800.0,22
47712.78592870601,23
75825.09613698452,24
165135.80910767414,25
288888.0,26
88752.72090059999,27
87647.02167385572,28
96800.0,29
79188.05703369735,30
286619.7762288404,31
65800.0,32
96800.0,33
48400.0,34
73900.0,35
85329.68714467053,36
14481.043529105169,37
35573.956304293344,38
49914.46387393428,39
72786.41580159456,40
110800.0,41
68888.0,42
185554.40708987633,43
74059.1383510486,44
90912.29056282355,45
55284.63911979295,46
140222.24367493656,47
95000.0,48
81599.22394116297,49
70897.6979236796,50
108888.0,51
-62611.05527638185,52
69175.63935903841,53
97654.28742322346,54
42086.44666385423,55
-340915.9471123815,56
-30952.796234690963,57
334660.5533245008,58
849515.5828119174,59
85820.8063373045,60
25503.013881298604,61
138801.29438530983,62
183988.0,63
62904.98213390809,64
74563.99351807832,65
90960.37309604186,66
148951.87560695328,67
18933.5833089413,68
80014.61576361724,69
149800.0,70
183988.0,71
92938.90254513446,72
69601.52519642166,73
103382.0138260097,74
187647.0684073097,75
47847.187838275626,76
56030.00661068765,77
28392.255272736445,78
79460.08836015817,79
70502.33715091349,80
183988.0,81
72536.72686479223,82
62706.74441599448,83
97417.88203339385,84
39633.47890430134,85
52931.88377649272,86
164712.6258176915,87
95843.55864465682,88
50047.56567437733,89
79199.61245550023,90
110311.74338821297,91
149800.0,92
48400.0,93
299071.25889519346,94
41753.062611806796,95
81719.03249505501,96
87298.9130242769,97
62865.05379428573,98
88290.64011100293,99
50838.22656509718,100
183988.0,101
183988.0,102
49082.884968530125,103
45667.623152995206,104
128664.60964969639,105
149800.0,106
82416.54017404503,107
101932.43731082122,108
80100.1211911055,109
92768.29841649575,110
81649.56195014238,111
5973.696988979431,112
149800.0,113
49173.99613832061,114
284956.25,115
68265.8947368421,116
171888.40919561504,117
117800.0,118
93150.44213536197,119
38157.88303165001,120
73900.0,121
270218.97308254027,122
-22712.344330347332,123
27948.275342073954,124
1291005.8199607718,125
178800.0,126
70614.25596527095,127
43226.96458065808,128
75473.21622619437,129
148602.09895052473,130
638055.1499373034,131
183988.0,132
135075.23317346507,133
210862.25573177345,134
-39498.53968483624,135
255471.22476453148,136
50739.61001788909,137
-39963.918085086756,138
28500.0,139
111012.85640927799,140
711640.9253202796,141
500199.23748230713,142
338282.0743427574,143
42335.5313059034,144
80691.52730578551,145
105201.72576983881,146
44461.56192051718,147
29205.7187687814,148
128800.0,149
219861.0195774375,150
7179.184073487253,151
80013.04694821825,152
57280.6178537436,153
186000.0,154
79090.93478201807,155
66631.36842105263,156
57580.76456642111,157
261026.53949744947,158
48400.0,159
193002.89425191077,160
868800.0,161
42154.57178481166,162
108888.0,163
88820.03098763897,164
218000.0,165
88088.3434221858,166
183988.0,167
43675.68023318515,168
59522.270338561255,169
14777.011972035667,170
54486.57569105219,171
95760.80356840166,172
1178141.5984701545,173
26868.12091960868,174
183848.82995269136,175
66221.65337035323,176
254800.0,177
557085.9570956823,178
151209.35897038857,179
104744.23934147888,180
269659.88494956633,181
-12101.72105263159,182
70245.08688301803,183
952555.1112657122,184
121800.0,185
24988.0,186
281731.1908499917,187
183988.0,188
543488.3475409246,189
101631.85366209324,190
